FIPS,YEAR,unemp_rate
12131,2018,3.0
12131,2017,3.4
12131,2016,4.0
12131,2015,4.7
12131,2014,5.5
12131,2013,6.4
12131,2012,7.5
12131,2011,8.7
12133,2021,4.8
12133,2020,6.3
12133,2019,3.8
12133,2018,4.4
12133,2017,4.9
12133,2016,5.6
12133,2015,6.0
12133,2014,7.0
12133,2013,8.1
12133,2012,9.1
12133,2011,10.1
13001,2021,4.1
13001,2020,5.4
13001,2019,4.7
13001,2018,5.0
13001,2017,6.3
13001,2016,7.3
13001,2015,7.4
13001,2014,8.9
13001,2013,10.7
13001,2012,11.0
13001,2011,12.1
13003,2021,3.4
13003,2020,4.5
13003,2019,3.7
13003,2018,4.0
13003,2017,5.1
13003,2016,6.0
13003,2015,5.8
13003,2014,7.6
13003,2013,9.3
13003,2012,11.4
13003,2011,12.6
13005,2021,3.4
13005,2020,4.9
13005,2019,4.0
13005,2018,4.0
13005,2017,4.7
13005,2016,5.6
13005,2015,5.8
13005,2014,7.0
13005,2013,8.4
13005,2012,9.5
13005,2011,10.3
13007,2021,6.0
13007,2020,7.3
13007,2019,5.9
13007,2018,6.6
13007,2017,8.1
13007,2016,9.7
13007,2015,7.4
13007,2014,9.1
13007,2013,10.5
13007,2012,10.9
13007,2011,11.4
13009,2021,4.5
13009,2020,6.5
13009,2019,4.1
13009,2018,4.6
13009,2017,5.5
13009,2016,6.5
13009,2015,7.8
13009,2014,8.8
13009,2013,10.1
13009,2012,11.4
13009,2011,13.5
13011,2021,3.1
13011,2020,5.2
13011,2019,3.3
13011,2018,3.7
13011,2017,4.6
13011,2016,5.7
13011,2015,5.7
13011,2014,6.7
13011,2013,7.8
13011,2012,8.1
13011,2011,9.1
13013,2021,2.9
13013,2020,5.0
13013,2019,2.9
13013,2018,3.3
13013,2017,4.0
13013,2016,4.7
13013,2015,5.3
13013,2014,6.3
13013,2013,7.3
13013,2012,8.5
13013,2011,9.8
13015,2021,3.4
13015,2020,6.0
13015,2019,3.4
13015,2018,3.7
13015,2017,4.5
13015,2016,5.0
13015,2015,6.0
13015,2014,7.2
13015,2013,8.6
13015,2012,9.8
13015,2011,11.3
13017,2021,4.3
13017,2020,5.5
13017,2019,4.5
13017,2018,4.7
13017,2017,6.2
13017,2016,6.6
13017,2015,9.1
13017,2014,10.1
13017,2013,12.4
13017,2012,13.7
13017,2011,15.3
13019,2021,3.4
13019,2020,5.3
13019,2019,3.7
13019,2018,3.7
13019,2017,4.6
